"","genus","family","order","richness"
"Acanthopale","Acanthopale","Acanthaceae","Lamiales",8
"Acanthopsis","Acanthopsis","Acanthaceae","Lamiales",8
"Acanthura","Acanthura","Acanthaceae","Lamiales",1
"Acanthus","Acanthus","Acanthaceae","Lamiales",29
"Achyrocalyx","Achyrocalyx","Acanthaceae","Lamiales",4
"Adhatoda","Adhatoda","Acanthaceae","Lamiales",1
"Aechmanthera","Aechmanthera","Acanthaceae","Lamiales",3
"Afrofittonia","Afrofittonia","Acanthaceae","Lamiales",1
"Ambongia","Ambongia","Acanthaceae","Lamiales",1
"Ancistranthus","Ancistranthus","Acanthaceae","Lamiales",1
"Andrographis","Andrographis","Acanthaceae","Lamiales",32
"Angkalanthus","Angkalanthus","Acanthaceae","Lamiales",1
"Anisacanthus","Anisacanthus","Acanthaceae","Lamiales",18
"Anisosepalum","Anisosepalum","Acanthaceae","Lamiales",3
"Anisostachya","Anisostachya","Acanthaceae","Lamiales",2
"Anisotes","Anisotes","Acanthaceae","Lamiales",18
"Anomacanthus","Anomacanthus","Acanthaceae","Lamiales",1
"Apassalus","Apassalus","Acanthaceae","Lamiales",4
"Aphanosperma","Aphanosperma","Acanthaceae","Lamiales",1
"Aphelandra","Aphelandra","Acanthaceae","Lamiales",195
"Aphelandrella","Aphelandrella","Acanthaceae","Lamiales",1
"Ascotheca","Ascotheca","Acanthaceae","Lamiales",1
"Asystasia","Asystasia","Acanthaceae","Lamiales",54
"Asystasiella","Asystasiella","Acanthaceae","Lamiales",4
"Avicennia","Avicennia","Acanthaceae","Lamiales",8
"Ballochia","Ballochia","Acanthaceae","Lamiales",3
"Baphicacanthus","Baphicacanthus","Acanthaceae","Lamiales",1
"Barleria","Barleria","Acanthaceae","Lamiales",253
"Barleriola","Barleriola","Acanthaceae","Lamiales",4
"Beloperone","Beloperone","Acanthaceae","Lamiales",2
"Benoicanthus","Benoicanthus","Acanthaceae","Lamiales",2
"Blechum","Blechum","Acanthaceae","Lamiales",14
"Blepharis","Blepharis","Acanthaceae","Lamiales",125
"Borneacanthus","Borneacanthus","Acanthaceae","Lamiales",6
"Boutonia","Boutonia","Acanthaceae","Lamiales",1
"Brachystephanus","Brachystephanus","Acanthaceae","Lamiales",14
"Bravaisia","Bravaisia","Acanthaceae","Lamiales",3
"Brillantaisia","Brillantaisia","Acanthaceae","Lamiales",17
"Brunoniella","Brunoniella","Acanthaceae","Lamiales",6
"Calacanthus","Calacanthus","Acanthaceae","Lamiales",1
"Calycacanthus","Calycacanthus","Acanthaceae","Lamiales",1
"Camarotea","Camarotea","Acanthaceae","Lamiales",1
"Carlowrightia","Carlowrightia","Acanthaceae","Lamiales",26
"Celerina","Celerina","Acanthaceae","Lamiales",1
"Centrilla","Centrilla","Acanthaceae","Lamiales",1
"Cephalacanthus","Cephalacanthus","Acanthaceae","Lamiales",1
"Chaetacanthus","Chaetacanthus","Acanthaceae","Lamiales",3
"Chalarothyrsus","Chalarothyrsus","Acanthaceae","Lamiales",1
"Chamaeranthemum","Chamaeranthemum","Acanthaceae","Lamiales",4
"Chileranthemum","Chileranthemum","Acanthaceae","Lamiales",3
"Chlamydacanthus","Chlamydacanthus","Acanthaceae","Lamiales",4
"Chlamydocardia","Chlamydocardia","Acanthaceae","Lamiales",3
"Chlamydostachya","Chlamydostachya","Acanthaceae","Lamiales",1
"Chorisochora","Chorisochora","Acanthaceae","Lamiales",3
"Chroesthes","Chroesthes","Acanthaceae","Lamiales",3
"Clarkeasia","Clarkeasia","Acanthaceae","Lamiales",1
"Clinacanthus","Clinacanthus","Acanthaceae","Lamiales",2
"Clistax","Clistax","Acanthaceae","Lamiales",2
"Codonacanthus","Codonacanthus","Acanthaceae","Lamiales",2
"Conocalyx","Conocalyx","Acanthaceae","Lamiales",1
"Cosmianthemum","Cosmianthemum","Acanthaceae","Lamiales",14
"Crabbea","Crabbea","Acanthaceae","Lamiales",13
"Crossandra","Crossandra","Acanthaceae","Lamiales",54
"Crossandrella","Crossandrella","Acanthaceae","Lamiales",2
"Cuenotia","Cuenotia","Acanthaceae","Lamiales",1
"Cyclacanthus","Cyclacanthus","Acanthaceae","Lamiales",2
"Cynarospermum","Cynarospermum","Acanthaceae","Lamiales",1
"Cyphacanthus","Cyphacanthus","Acanthaceae","Lamiales",1
"Danguya","Danguya","Acanthaceae","Lamiales",1
"Dasytropis","Dasytropis","Acanthaceae","Lamiales",1
"Dianthera","Dianthera","Acanthaceae","Lamiales",3
"Dichazothece","Dichazothece","Acanthaceae","Lamiales",1
"Dicladanthera","Dicladanthera","Acanthaceae","Lamiales",2
"Dicliptera","Dicliptera","Acanthaceae","Lamiales",230
"Dischistocalyx","Dischistocalyx","Acanthaceae","Lamiales",12
"Dolichostachys","Dolichostachys","Acanthaceae","Lamiales",1
"Drejera","Drejera","Acanthaceae","Lamiales",2
"Duosperma","Duosperma","Acanthaceae","Lamiales",26
"Dyschoriste","Dyschoriste","Acanthaceae","Lamiales",105
"Ecbolium","Ecbolium","Acanthaceae","Lamiales",21
"Echinacanthus","Echinacanthus","Acanthaceae","Lamiales",4
"Elytraria","Elytraria","Acanthaceae","Lamiales",21
"Encephalosphaera","Encephalosphaera","Acanthaceae","Lamiales",3
"Epiclastopelma","Epiclastopelma","Acanthaceae","Lamiales",2
"Eranthemum","Eranthemum","Acanthaceae","Lamiales",22
"Eremomastax","Eremomastax","Acanthaceae","Lamiales",1
"Eusiphon","Eusiphon","Acanthaceae","Lamiales",3
"Filetia","Filetia","Acanthaceae","Lamiales",9
"Fittonia","Fittonia","Acanthaceae","Lamiales",2
"Forcipella","Forcipella","Acanthaceae","Lamiales",6
"Geissomeria","Geissomeria","Acanthaceae","Lamiales",17
"Glossochilus","Glossochilus","Acanthaceae","Lamiales",2
"Graphandra","Graphandra","Acanthaceae","Lamiales",1
"Graptophyllum","Graptophyllum","Acanthaceae","Lamiales",15
"Gymnophragma","Gymnophragma","Acanthaceae","Lamiales",1
"Gymnostachyum","Gymnostachyum","Acanthaceae","Lamiales",50
"Gynocraterium","Gynocraterium","Acanthaceae","Lamiales",1
"Gypsacanthus","Gypsacanthus","Acanthaceae","Lamiales",1
"Habracanthus","Habracanthus","Acanthaceae","Lamiales",15
"Hansteinia","Hansteinia","Acanthaceae","Lamiales",6
"Harpochilus","Harpochilus","Acanthaceae","Lamiales",1
"Hemigraphis","Hemigraphis","Acanthaceae","Lamiales",19
"Henrya","Henrya","Acanthaceae","Lamiales",2
"Herpetacanthus","Herpetacanthus","Acanthaceae","Lamiales",3
"Heteradelphia","Heteradelphia","Acanthaceae","Lamiales",2
"Holographis","Holographis","Acanthaceae","Lamiales",12
"Hygrophila","Hygrophila","Acanthaceae","Lamiales",28
"Hymenochlaena","Hymenochlaena","Acanthaceae","Lamiales",1
"Hypoestes","Hypoestes","Acanthaceae","Lamiales",15
"Isoglossa","Isoglossa","Acanthaceae","Lamiales",15
"Isotheca","Isotheca","Acanthaceae","Lamiales",1
"Jacobinia","Jacobinia","Acanthaceae","Lamiales",9
"Jadunia","Jadunia","Acanthaceae","Lamiales",1
"Justicia","Justicia","Acanthaceae","Lamiales",376
"Kalbreyeriella","Kalbreyeriella","Acanthaceae","Lamiales",3
"Kita","Kita","Acanthaceae","Lamiales",1
"Lankesteria","Lankesteria","Acanthaceae","Lamiales",3
"Lasiocladus","Lasiocladus","Acanthaceae","Lamiales",1
"Lepidagathis","Lepidagathis","Acanthaceae","Lamiales",30
"Leptosiphonium","Leptosiphonium","Acanthaceae","Lamiales",1
"Leptostachya","Leptostachya","Acanthaceae","Lamiales",1
"Liberatia","Liberatia","Acanthaceae","Lamiales",1
"Lissospermum","Lissospermum","Acanthaceae","Lamiales",1
"Listrobanthes","Listrobanthes","Acanthaceae","Lamiales",1
"Lophostachys","Lophostachys","Acanthaceae","Lamiales",5
"Louteridium","Louteridium","Acanthaceae","Lamiales",6
"Lustrinia","Lustrinia","Acanthaceae","Lamiales",1
"Mackaya","Mackaya","Acanthaceae","Lamiales",1
"Mananthes","Mananthes","Acanthaceae","Lamiales",2
"Megalochlamys","Megalochlamys","Acanthaceae","Lamiales",5
"Megaskepasma","Megaskepasma","Acanthaceae","Lamiales",1
"Mellera","Mellera","Acanthaceae","Lamiales",2
"Mendoncia","Mendoncia","Acanthaceae","Lamiales",55
"Metarungia","Metarungia","Acanthaceae","Lamiales",2
"Mexacanthus","Mexacanthus","Acanthaceae","Lamiales",1
"Microstrobilus","Microstrobilus","Acanthaceae","Lamiales",1
"Mimulopsis","Mimulopsis","Acanthaceae","Lamiales",4
"Mirandea","Mirandea","Acanthaceae","Lamiales",4
"Monachochlamys","Monachochlamys","Acanthaceae","Lamiales",1
"Monechma","Monechma","Acanthaceae","Lamiales",20
"Monothecium","Monothecium","Acanthaceae","Lamiales",1
"Neesiella","Neesiella","Acanthaceae","Lamiales",1
"Nelsonia","Nelsonia","Acanthaceae","Lamiales",4
"Neriacanthus","Neriacanthus","Acanthaceae","Lamiales",3
"Neuracanthus","Neuracanthus","Acanthaceae","Lamiales",6
"Nilgirianthus","Nilgirianthus","Acanthaceae","Lamiales",1
"Nothoruellia","Nothoruellia","Acanthaceae","Lamiales",1
"Odontonema","Odontonema","Acanthaceae","Lamiales",15
"Oplonia","Oplonia","Acanthaceae","Lamiales",11
"Orophochilus","Orophochilus","Acanthaceae","Lamiales",1
"Pachystachys","Pachystachys","Acanthaceae","Lamiales",12
"Pachystrobilus","Pachystrobilus","Acanthaceae","Lamiales",1
"Parachampionella","Parachampionella","Acanthaceae","Lamiales",1
"Paragutzlaffia","Paragutzlaffia","Acanthaceae","Lamiales",2
"Pararuellia","Pararuellia","Acanthaceae","Lamiales",3
"Parastrobilanthes","Parastrobilanthes","Acanthaceae","Lamiales",1
"Periestes","Periestes","Acanthaceae","Lamiales",1
"Perilepta","Perilepta","Acanthaceae","Lamiales",1
"Peristrophe","Peristrophe","Acanthaceae","Lamiales",8
"Petalidium","Petalidium","Acanthaceae","Lamiales",16
"Phaulopsis","Phaulopsis","Acanthaceae","Lamiales",15
"Phlebophyllum","Phlebophyllum","Acanthaceae","Lamiales",1
"Phlogacanthus","Phlogacanthus","Acanthaceae","Lamiales",1
"Physacanthus","Physacanthus","Acanthaceae","Lamiales",2
"Pleocaulus","Pleocaulus","Acanthaceae","Lamiales",1
"Podorungia","Podorungia","Acanthaceae","Lamiales",3
"Poikilacanthus","Poikilacanthus","Acanthaceae","Lamiales",9
"Psacadopaepale","Psacadopaepale","Acanthaceae","Lamiales",1
"Pseuderanthemum","Pseuderanthemum","Acanthaceae","Lamiales",34
"Pseudocalyx","Pseudocalyx","Acanthaceae","Lamiales",1
"Pseudodicliptera","Pseudodicliptera","Acanthaceae","Lamiales",2
"Pseudoruellia","Pseudoruellia","Acanthaceae","Lamiales",1
"Pseudostenosiphonium","Pseudostenosiphonium","Acanthaceae","Lamiales",1
"Psilanthele","Psilanthele","Acanthaceae","Lamiales",1
"Pteracanthus","Pteracanthus","Acanthaceae","Lamiales",1
"Pteroptychia","Pteroptychia","Acanthaceae","Lamiales",1
"Ptyssiglottis","Ptyssiglottis","Acanthaceae","Lamiales",1
"Pulchranthus","Pulchranthus","Acanthaceae","Lamiales",4
"Pupilla","Pupilla","Acanthaceae","Lamiales",1
"Pyrrothrix","Pyrrothrix","Acanthaceae","Lamiales",1
"Razisea","Razisea","Acanthaceae","Lamiales",5
"Rhaphidospora","Rhaphidospora","Acanthaceae","Lamiales",1
"Rhinacanthus","Rhinacanthus","Acanthaceae","Lamiales",3
"Ruellia","Ruellia","Acanthaceae","Lamiales",162
"Rungia","Rungia","Acanthaceae","Lamiales",10
"Ruspolia","Ruspolia","Acanthaceae","Lamiales",3
"Ruttya","Ruttya","Acanthaceae","Lamiales",1
"Saintpauliopsis","Saintpauliopsis","Acanthaceae","Lamiales",1
"Sanchezia","Sanchezia","Acanthaceae","Lamiales",51
"Sarojusticia","Sarojusticia","Acanthaceae","Lamiales",1
"Sarotheca","Sarotheca","Acanthaceae","Lamiales",1
"Satanocrater","Satanocrater","Acanthaceae","Lamiales",2
"Schaueria","Schaueria","Acanthaceae","Lamiales",4
"Sclerochiton","Sclerochiton","Acanthaceae","Lamiales",7
"Semnothyrsus","Semnothyrsus","Acanthaceae","Lamiales",1
"Sericocalyx","Sericocalyx","Acanthaceae","Lamiales",2
"Sericographis","Sericographis","Acanthaceae","Lamiales",1
"Siphonoglossa","Siphonoglossa","Acanthaceae","Lamiales",10
"Spathacanthus","Spathacanthus","Acanthaceae","Lamiales",3
"Staurogyne","Staurogyne","Acanthaceae","Lamiales",31
"Staurogynopsis","Staurogynopsis","Acanthaceae","Lamiales",1
"Stenandriopsis","Stenandriopsis","Acanthaceae","Lamiales",1
"Stenandrium","Stenandrium","Acanthaceae","Lamiales",38
"Stenostephanus","Stenostephanus","Acanthaceae","Lamiales",26
"Streblacanthus","Streblacanthus","Acanthaceae","Lamiales",5
"Strobilanthes","Strobilanthes","Acanthaceae","Lamiales",35
"Strobilanthopsis","Strobilanthopsis","Acanthaceae","Lamiales",1
"Suessenguthia","Suessenguthia","Acanthaceae","Lamiales",4
"Symplectochilus","Symplectochilus","Acanthaceae","Lamiales",1
"Synnema","Synnema","Acanthaceae","Lamiales",3
"Taeniandra","Taeniandra","Acanthaceae","Lamiales",1
"Tarphochlamys","Tarphochlamys","Acanthaceae","Lamiales",1
"Teliostachya","Teliostachya","Acanthaceae","Lamiales",1
"Tessmanniacanthus","Tessmanniacanthus","Acanthaceae","Lamiales",1
"Tetraglochidium","Tetraglochidium","Acanthaceae","Lamiales",2
"Tetramerium","Tetramerium","Acanthaceae","Lamiales",26
"Thelepaepale","Thelepaepale","Acanthaceae","Lamiales",1
"Thunbergia","Thunbergia","Acanthaceae","Lamiales",31
"Trichanthera","Trichanthera","Acanthaceae","Lamiales",2
"Trichosanchezia","Trichosanchezia","Acanthaceae","Lamiales",1
"Whitfieldia","Whitfieldia","Acanthaceae","Lamiales",5
"Xantheranthemum","Xantheranthemum","Acanthaceae","Lamiales",1
"Xanthostachya","Xanthostachya","Acanthaceae","Lamiales",1
"Xenacanthus","Xenacanthus","Acanthaceae","Lamiales",1
"Yeatesia","Yeatesia","Acanthaceae","Lamiales",2
"Buchnerodendron","Buchnerodendron","Achariaceae","Malpighiales",1
"Caloncoba","Caloncoba","Achariaceae","Malpighiales",7
"Camptostylus","Camptostylus","Achariaceae","Malpighiales",2
"Carpotroche","Carpotroche","Achariaceae","Malpighiales",8
"Chiangiodendron","Chiangiodendron","Achariaceae","Malpighiales",1
"Dasylepis","Dasylepis","Achariaceae","Malpighiales",1
"Dendrostylis","Dendrostylis","Achariaceae","Malpighiales",1
"Erythrospermum","Erythrospermum","Achariaceae","Malpighiales",3
"Grandidiera","Grandidiera","Achariaceae","Malpighiales",1
"Gynocardia","Gynocardia","Achariaceae","Malpighiales",1
"Hydnocarpus","Hydnocarpus","Achariaceae","Malpighiales",5
"Kuhlmanniodendron","Kuhlmanniodendron","Achariaceae","Malpighiales",1
"Lindackeria","Lindackeria","Achariaceae","Malpighiales",8
"Mayna","Mayna","Achariaceae","Malpighiales",6
"Peterodendron","Peterodendron","Achariaceae","Malpighiales",1
"Rawsonia","Rawsonia","Achariaceae","Malpighiales",2
"Xylotheca","Xylotheca","Achariaceae","Malpighiales",4
"Achatocarpus","Achatocarpus","Achatocarpaceae","Caryophyllales",10
"Phaulothamnus","Phaulothamnus","Achatocarpaceae","Caryophyllales",1
"Acorus","Acorus","Acoraceae","Acorales",2
"Actinidia","Actinidia","Actinidiaceae","Ericales",75
"Clematoclethra","Clematoclethra","Actinidiaceae","Ericales",1
"Saurauia","Saurauia","Actinidiaceae","Ericales",81
"Adoxa","Adoxa","Adoxaceae","Dipsacales",2
"Sambucus","Sambucus","Adoxaceae","Dipsacales",11
"Sinadoxa","Sinadoxa","Adoxaceae","Dipsacales",1
"Tetradoxa","Tetradoxa","Adoxaceae","Dipsacales",1
"Viburnum","Viburnum","Adoxaceae","Dipsacales",141
"Aextoxicon","Aextoxicon","Aextoxicaceae","Berberidopsidales",1
"Acrodon","Acrodon","Aizoaceae","Caryophyllales",8
"Acrosanthes","Acrosanthes","Aizoaceae","Caryophyllales",6
"Aethephyllum","Aethephyllum","Aizoaceae","Caryophyllales",1
"Aizoanthemum","Aizoanthemum","Aizoaceae","Caryophyllales",7
"Aizoon","Aizoon","Aizoaceae","Caryophyllales",16
"Aloinopsis","Aloinopsis","Aizoaceae","Caryophyllales",15
"Amphibolia","Amphibolia","Aizoaceae","Caryophyllales",11
"Antegibbaeum","Antegibbaeum","Aizoaceae","Caryophyllales",1
"Antimima","Antimima","Aizoaceae","Caryophyllales",104
"Apatesia","Apatesia","Aizoaceae","Caryophyllales",3
"Aptenia","Aptenia","Aizoaceae","Caryophyllales",4
"Arenifera","Arenifera","Aizoaceae","Caryophyllales",4
"Argyroderma","Argyroderma","Aizoaceae","Caryophyllales",12
"Aridaria","Aridaria","Aizoaceae","Caryophyllales",4
"Aspazoma","Aspazoma","Aizoaceae","Caryophyllales",1
"Astridia","Astridia","Aizoaceae","Caryophyllales",9
"Bergeranthus","Bergeranthus","Aizoaceae","Caryophyllales",10
"Berresfordia","Berresfordia","Aizoaceae","Caryophyllales",1
"Bijlia","Bijlia","Aizoaceae","Caryophyllales",3
"Braunsia","Braunsia","Aizoaceae","Caryophyllales",5
"Brianhuntleya","Brianhuntleya","Aizoaceae","Caryophyllales",1
"Brownanthus","Brownanthus","Aizoaceae","Caryophyllales",14
"Calamophyllum","Calamophyllum","Aizoaceae","Caryophyllales",3
"Carpanthea","Carpanthea","Aizoaceae","Caryophyllales",2
"Carpobrotus","Carpobrotus","Aizoaceae","Caryophyllales",13
"Carruanthophyllum","Carruanthophyllum","Aizoaceae","Caryophyllales",1
"Carruanthus","Carruanthus","Aizoaceae","Caryophyllales",2
"Caryotophora","Caryotophora","Aizoaceae","Caryophyllales",1
"Caulipsolon","Caulipsolon","Aizoaceae","Caryophyllales",1
"Cephalophyllum","Cephalophyllum","Aizoaceae","Caryophyllales",34
"Cerochlamys","Cerochlamys","Aizoaceae","Caryophyllales",4
"Chasmatophyllum","Chasmatophyllum","Aizoaceae","Caryophyllales",8
"Cheiridopsis","Cheiridopsis","Aizoaceae","Caryophyllales",33
"Circandra","Circandra","Aizoaceae","Caryophyllales",1
"Cleretum","Cleretum","Aizoaceae","Caryophyllales",3
"Conicosia","Conicosia","Aizoaceae","Caryophyllales",2
"Conophytum","Conophytum","Aizoaceae","Caryophyllales",95
"Corpuscularia","Corpuscularia","Aizoaceae","Caryophyllales",7
"Cylindrophyllum","Cylindrophyllum","Aizoaceae","Caryophyllales",5
"Cypselea","Cypselea","Aizoaceae","Caryophyllales",2
"Dactylopsis","Dactylopsis","Aizoaceae","Caryophyllales",1
"Deilanthe","Deilanthe","Aizoaceae","Caryophyllales",3
"Delosperma","Delosperma","Aizoaceae","Caryophyllales",170
"Dicrocaulon","Dicrocaulon","Aizoaceae","Caryophyllales",7
"Didymaotus","Didymaotus","Aizoaceae","Caryophyllales",1
"Dinteranthus","Dinteranthus","Aizoaceae","Caryophyllales",5
"Diplosoma","Diplosoma","Aizoaceae","Caryophyllales",1
"Disphyma","Disphyma","Aizoaceae","Caryophyllales",5
"Dorotheanthus","Dorotheanthus","Aizoaceae","Caryophyllales",7
"Dracophilus","Dracophilus","Aizoaceae","Caryophyllales",4
"Drosanthemum","Drosanthemum","Aizoaceae","Caryophyllales",112
"Eberlanzia","Eberlanzia","Aizoaceae","Caryophyllales",31
"Ebracteola","Ebracteola","Aizoaceae","Caryophyllales",4
"Enarganthe","Enarganthe","Aizoaceae","Caryophyllales",1
"Erepsia","Erepsia","Aizoaceae","Caryophyllales",30
"Esterhuysenia","Esterhuysenia","Aizoaceae","Caryophyllales",5
"Eurystigma","Eurystigma","Aizoaceae","Caryophyllales",1
"Faucaria","Faucaria","Aizoaceae","Caryophyllales",6
"Fenestraria","Fenestraria","Aizoaceae","Caryophyllales",1
"Frithia","Frithia","Aizoaceae","Caryophyllales",2
"Galenia","Galenia","Aizoaceae","Caryophyllales",24
"Gibbaeum","Gibbaeum","Aizoaceae","Caryophyllales",21
"Glottiphyllum","Glottiphyllum","Aizoaceae","Caryophyllales",16
"Gunniopsis","Gunniopsis","Aizoaceae","Caryophyllales",13
"Hallianthus","Hallianthus","Aizoaceae","Caryophyllales",1
"Hammeria","Hammeria","Aizoaceae","Caryophyllales",1
"Hereroa","Hereroa","Aizoaceae","Caryophyllales",1
"Hymenocyclus","Hymenocyclus","Aizoaceae","Caryophyllales",1
"Hymenogyne","Hymenogyne","Aizoaceae","Caryophyllales",1
"Ihlenfeldtia","Ihlenfeldtia","Aizoaceae","Caryophyllales",2
"Jacobsenia","Jacobsenia","Aizoaceae","Caryophyllales",1
"Jordaaniella","Jordaaniella","Aizoaceae","Caryophyllales",1
"Juttadinteria","Juttadinteria","Aizoaceae","Caryophyllales",1
"Kensitia","Kensitia","Aizoaceae","Caryophyllales",1
"Khadia","Khadia","Aizoaceae","Caryophyllales",1
"Lampranthus","Lampranthus","Aizoaceae","Caryophyllales",9
"Lapidaria","Lapidaria","Aizoaceae","Caryophyllales",1
"Leipoldtia","Leipoldtia","Aizoaceae","Caryophyllales",2
"Lithops","Lithops","Aizoaceae","Caryophyllales",1
"Machairophyllum","Machairophyllum","Aizoaceae","Caryophyllales",1
"Macrocaulon","Macrocaulon","Aizoaceae","Caryophyllales",1
"Malephora","Malephora","Aizoaceae","Caryophyllales",3
"Maughaniella","Maughaniella","Aizoaceae","Caryophyllales",1
"Mesembryanthemum","Mesembryanthemum","Aizoaceae","Caryophyllales",5
"Mestoklema","Mestoklema","Aizoaceae","Caryophyllales",1
"Meyerophytum","Meyerophytum","Aizoaceae","Caryophyllales",1
"Micropterum","Micropterum","Aizoaceae","Caryophyllales",1
"Mitrophyllum","Mitrophyllum","Aizoaceae","Caryophyllales",3
"Monilaria","Monilaria","Aizoaceae","Caryophyllales",1
"Mossia","Mossia","Aizoaceae","Caryophyllales",1
"Namibia","Namibia","Aizoaceae","Caryophyllales",1
"Nananthus","Nananthus","Aizoaceae","Caryophyllales",1
"Neohenricia","Neohenricia","Aizoaceae","Caryophyllales",1
"Neorhine","Neorhine","Aizoaceae","Caryophyllales",1
"Octopoma","Octopoma","Aizoaceae","Caryophyllales",1
"Odontophorus","Odontophorus","Aizoaceae","Caryophyllales",1
"Oophytum","Oophytum","Aizoaceae","Caryophyllales",1
"Ophthalmophyllum","Ophthalmophyllum","Aizoaceae","Caryophyllales",1
"Opophytum","Opophytum","Aizoaceae","Caryophyllales",1
"Ottosonderia","Ottosonderia","Aizoaceae","Caryophyllales",1
"Phyllobolus","Phyllobolus","Aizoaceae","Caryophyllales",1
"Platythyra","Platythyra","Aizoaceae","Caryophyllales",1
"Pleiospilos","Pleiospilos","Aizoaceae","Caryophyllales",1
"Prepodesma","Prepodesma","Aizoaceae","Caryophyllales",1
"Psammophora","Psammophora","Aizoaceae","Caryophyllales",1
"Psilocaulon","Psilocaulon","Aizoaceae","Caryophyllales",5
"Punctillaria","Punctillaria","Aizoaceae","Caryophyllales",1
"Rabiea","Rabiea","Aizoaceae","Caryophyllales",7
"Rhinephyllum","Rhinephyllum","Aizoaceae","Caryophyllales",1
"Rhombophyllum","Rhombophyllum","Aizoaceae","Caryophyllales",1
"Ruschia","Ruschia","Aizoaceae","Caryophyllales",7
"Ruschianthemum","Ruschianthemum","Aizoaceae","Caryophyllales",1
"Saphesia","Saphesia","Aizoaceae","Caryophyllales",1
"Sarcozona","Sarcozona","Aizoaceae","Caryophyllales",1
"Sceletium","Sceletium","Aizoaceae","Caryophyllales",1
"Semnanthe","Semnanthe","Aizoaceae","Caryophyllales",1
"Sesuvium","Sesuvium","Aizoaceae","Caryophyllales",9
"Skiatophytum","Skiatophytum","Aizoaceae","Caryophyllales",1
"Smicrostigma","Smicrostigma","Aizoaceae","Caryophyllales",1
"Sphalmanthus","Sphalmanthus","Aizoaceae","Caryophyllales",3
"Stigmatocarpum","Stigmatocarpum","Aizoaceae","Caryophyllales",1
"Stoeberia","Stoeberia","Aizoaceae","Caryophyllales",1
"Synaptophyllum","Synaptophyllum","Aizoaceae","Caryophyllales",1
"Tanquana","Tanquana","Aizoaceae","Caryophyllales",1
"Tetragonia","Tetragonia","Aizoaceae","Caryophyllales",17
"Thyrasperma","Thyrasperma","Aizoaceae","Caryophyllales",1
"Titanopsis","Titanopsis","Aizoaceae","Caryophyllales",1
"Trianthema","Trianthema","Aizoaceae","Caryophyllales",7
"Tribulocarpus","Tribulocarpus","Aizoaceae","Caryophyllales",1
"Vanheerdea","Vanheerdea","Aizoaceae","Caryophyllales",1
"Vanzijlia","Vanzijlia","Aizoaceae","Caryophyllales",1
"Verrucifera","Verrucifera","Aizoaceae","Caryophyllales",1
"Zaleya","Zaleya","Aizoaceae","Caryophyllales",4
"Zeuktophyllum","Zeuktophyllum","Aizoaceae","Caryophyllales",1
"Akania","Akania","Akaniaceae","Brassicales",1
"Bretschneidera","Bretschneidera","Akaniaceae","Brassicales",1
"Albidella","Albidella","Alismataceae","Alismatales",1
"Alisma","Alisma","Alismataceae","Alismatales",11
"Astonia","Astonia","Alismataceae","Alismatales",1
"Baldellia","Baldellia","Alismataceae","Alismatales",1
"Burnatia","Burnatia","Alismataceae","Alismatales",1
"Butomopsis","Butomopsis","Alismataceae","Alismatales",1
"Caldesia","Caldesia","Alismataceae","Alismatales",3
"Damasonium","Damasonium","Alismataceae","Alismatales",6
"Echinodorus","Echinodorus","Alismataceae","Alismatales",27
"Helanthium","Helanthium","Alismataceae","Alismatales",3
"Hydrocleys","Hydrocleys","Alismataceae","Alismatales",5
"Limnocharis","Limnocharis","Alismataceae","Alismatales",2
"Limnophyton","Limnophyton","Alismataceae","Alismatales",3
"Luronium","Luronium","Alismataceae","Alismatales",1
"Ranalisma","Ranalisma","Alismataceae","Alismatales",2
"Sagittaria","Sagittaria","Alismataceae","Alismatales",40
"Wiesneria","Wiesneria","Alismataceae","Alismatales",3
"Alseuosmia","Alseuosmia","Alseuosmiaceae","Asterales",5
"Crispiloba","Crispiloba","Alseuosmiaceae","Asterales",1
"Alstroemeria","Alstroemeria","Alstroemeriaceae","Liliales",125
"Bomarea","Bomarea","Alstroemeriaceae","Liliales",124
"Luzuriaga","Luzuriaga","Alstroemeriaceae","Liliales",4
"Schickendantziella","Schickendantziella","Alstroemeriaceae","Liliales",1
"Altingia","Altingia","Altingiaceae","Saxifragales",11
"Liquidambar","Liquidambar","Altingiaceae","Saxifragales",4
"Semiliquidambar","Semiliquidambar","Altingiaceae","Saxifragales",3
"Alzatea","Alzatea","Alzateaceae","Myrtales",1
"Achyranthes","Achyranthes","Amaranthaceae","Caryophyllales",11
"Achyropsis","Achyropsis","Amaranthaceae","Caryophyllales",6
"Acroglochin","Acroglochin","Amaranthaceae","Caryophyllales",2
"Aerva","Aerva","Amaranthaceae","Caryophyllales",22
"Agathophora","Agathophora","Amaranthaceae","Caryophyllales",1
"Agriophyllum","Agriophyllum","Amaranthaceae","Caryophyllales",6
"Alexandra","Alexandra","Amaranthaceae","Caryophyllales",1
"Allenrolfea","Allenrolfea","Amaranthaceae","Caryophyllales",3
"Allmania","Allmania","Amaranthaceae","Caryophyllales",1
"Allmaniopsis","Allmaniopsis","Amaranthaceae","Caryophyllales",1
"Alternanthera","Alternanthera","Amaranthaceae","Caryophyllales",137
"Amaranthus","Amaranthus","Amaranthaceae","Caryophyllales",103
"Anabasis","Anabasis","Amaranthaceae","Caryophyllales",29
"Anthochlamys","Anthochlamys","Amaranthaceae","Caryophyllales",6
"Aphanisma","Aphanisma","Amaranthaceae","Caryophyllales",1
