"","genus","family","order"
"Carpotroche","Carpotroche","Achariaceae","Malpighiales"
"Caloncoba","Caloncoba","Achariaceae","Malpighiales"
"Hydnocarpus","Hydnocarpus","Achariaceae","Malpighiales"
"Lozania","Lozania","Lacistemataceae","Malpighiales"
"Lacistema","Lacistema","Lacistemataceae","Malpighiales"
"Lunania","Lunania","Salicaceae","Malpighiales"
"Casearia","Casearia","Salicaceae","Malpighiales"
"Idesia","Idesia","Salicaceae","Malpighiales"
"Populus","Populus","Salicaceae","Malpighiales"
"Salix","Salix","Salicaceae","Malpighiales"
"Poliothyrsis","Poliothyrsis","Salicaceae","Malpighiales"
"Dovyalis","Dovyalis","Salicaceae","Malpighiales"
"Flacourtia","Flacourtia","Salicaceae","Malpighiales"
"Abatia","Abatia","Salicaceae","Malpighiales"
"Prockia","Prockia","Salicaceae","Malpighiales"
"Scyphostegia",NA,"Salicaceae","Malpighiales"
"Rinorea","Rinorea","Violaceae","Malpighiales"
"Hybanthus","Hybanthus","Violaceae","Malpighiales"
"Leonia","Leonia","Violaceae","Malpighiales"
"Hymenanthera",NA,"Violaceae","Malpighiales"
"Viola","Viola","Violaceae","Malpighiales"
"Goupia","Goupia","Goupiaceae","Malpighiales"
"Turnera","Turnera","Passifloraceae","Malpighiales"
"Passiflora","Passiflora","Passifloraceae","Malpighiales"
"Paropsia","Paropsia","Passifloraceae","Malpighiales"
"Malesherbia","Malesherbia","Passifloraceae","Malpighiales"
"Ctenolophon","Ctenolophon","Ctenolophonaceae","Malpighiales"
"Bruguiera","Bruguiera","Rhizophoraceae","Malpighiales"
"Rhizophora","Rhizophora","Rhizophoraceae","Malpighiales"
"Carallia","Carallia","Rhizophoraceae","Malpighiales"
"Paradrypetes","Paradrypetes","Rhizophoraceae","Malpighiales"
"Erythroxylum","Erythroxylum","Erythroxylaceae","Malpighiales"
"Balanops","Balanops","Balanopaceae","Malpighiales"
"Dichapetalum","Dichapetalum","Dichapetalaceae","Malpighiales"
"Tapura","Tapura","Dichapetalaceae","Malpighiales"
"Trigonia","Trigonia","Trigoniaceae","Malpighiales"
"Euphronia","Euphronia","Euphroniaceae","Malpighiales"
"Hirtella","Hirtella","Chrysobalanaceae","Malpighiales"
"Licania","Licania","Chrysobalanaceae","Malpighiales"
"Atuna","Atuna","Chrysobalanaceae","Malpighiales"
"Chrysobalanus","Chrysobalanus","Chrysobalanaceae","Malpighiales"
"Panda","Panda","Pandaceae","Malpighiales"
"Galearia","Galearia","Pandaceae","Malpighiales"
"Microdesmis","Microdesmis","Pandaceae","Malpighiales"
"Linum","Linum","Linaceae","Malpighiales"
"Durandea","Durandea","Linaceae","Malpighiales"
"Hugonia","Hugonia","Linaceae","Malpighiales"
"Reinwardtia","Reinwardtia","Linaceae","Malpighiales"
"Centroplacus","Centroplacus","Centroplacaceae","Malpighiales"
"Bhesa","Bhesa","Centroplacaceae","Malpighiales"
"Luxemburgia","Luxemburgia","Ochnaceae","Malpighiales"
"Ochna","Ochna","Ochnaceae","Malpighiales"
"Cespedesia","Cespedesia","Ochnaceae","Malpighiales"
"Sauvagesia","Sauvagesia","Ochnaceae","Malpighiales"
"Touroulia","Touroulia","Ochnaceae","Malpighiales"
"Quiina","Quiina","Ochnaceae","Malpighiales"
"Medusagyne",NA,NA,NA
"Clutia","Clutia","Peraceae","Malpighiales"
"Pera","Pera","Peraceae","Malpighiales"
"Pogonophora","Pogonophora","Peraceae","Malpighiales"
"Neoscortechinia","Neoscortechinia","Euphorbiaceae","Malpighiales"
"Endospermum","Endospermum","Euphorbiaceae","Malpighiales"
"Tetrorchidium","Tetrorchidium","Euphorbiaceae","Malpighiales"
"Omphalea","Omphalea","Euphorbiaceae","Malpighiales"
"Suregada","Suregada","Euphorbiaceae","Malpighiales"
"Moultonianthus","Moultonianthus","Euphorbiaceae","Malpighiales"
"Croton","Croton","Euphorbiaceae","Malpighiales"
"Codiaeum","Codiaeum","Euphorbiaceae","Malpighiales"
"Trigonostemon","Trigonostemon","Euphorbiaceae","Malpighiales"
"Manihot","Manihot","Euphorbiaceae","Malpighiales"
"Hevea","Hevea","Euphorbiaceae","Malpighiales"
"Pimelodendron","Pimelodendron","Euphorbiaceae","Malpighiales"
"Homalanthus","Homalanthus","Euphorbiaceae","Malpighiales"
"Hura","Hura","Euphorbiaceae","Malpighiales"
"Euphorbia","Euphorbia","Euphorbiaceae","Malpighiales"
"Conceveiba","Conceveiba","Euphorbiaceae","Malpighiales"
"Lasiocroton","Lasiocroton","Euphorbiaceae","Malpighiales"
"Dalechampia","Dalechampia","Euphorbiaceae","Malpighiales"
"Acalypha","Acalypha","Euphorbiaceae","Malpighiales"
"Spathiostemon","Spathiostemon","Euphorbiaceae","Malpighiales"
"Ricinus","Ricinus","Euphorbiaceae","Malpighiales"
"Caryocar","Caryocar","Caryocaraceae","Malpighiales"
"Lophopyxis",NA,"Lophopyxidaceae","Malpighiales"
"Drypetes","Drypetes","Putranjivaceae","Malpighiales"
"Putranjiva","Putranjiva","Putranjivaceae","Malpighiales"
"Podocalyx","Podocalyx","Picrodendraceae","Malpighiales"
"Petalostigma","Petalostigma","Picrodendraceae","Malpighiales"
"Dissiliaria","Dissiliaria","Picrodendraceae","Malpighiales"
"Micrantheum","Micrantheum","Picrodendraceae","Malpighiales"
"Austrobuxus","Austrobuxus","Picrodendraceae","Malpighiales"
"Androstachys","Androstachys","Picrodendraceae","Malpighiales"
"Tetracoccus","Tetracoccus","Picrodendraceae","Malpighiales"
"Bischofia","Bischofia","Phyllanthaceae","Malpighiales"
"Aporusa",NA,"Phyllanthaceae","Malpighiales"
"Phyllanthus","Phyllanthus","Phyllanthaceae","Malpighiales"
"Lachnostylis","Lachnostylis","Phyllanthaceae","Malpighiales"
"Croizatia","Croizatia","Phyllanthaceae","Malpighiales"
"Heywoodia","Heywoodia","Phyllanthaceae","Malpighiales"
"Byrsonima","Byrsonima","Malpighiaceae","Malpighiales"
"Acridocarpus","Acridocarpus","Malpighiaceae","Malpighiales"
"Thryallis","Thryallis","Malpighiaceae","Malpighiales"
"Dicella","Dicella","Malpighiaceae","Malpighiales"
"Malpighia","Malpighia","Malpighiaceae","Malpighiales"
"Elatine","Elatine","Elatinaceae","Malpighiales"
"Bergia","Bergia","Elatinaceae","Malpighiales"
"Sacoglottis","Sacoglottis","Humiriaceae","Malpighiales"
"Vantanea","Vantanea","Humiriaceae","Malpighiales"
"Humiria","Humiria","Humiriaceae","Malpighiales"
"Afrostyrax","Afrostyrax","Huaceae","Oxalidales"
"Hua",NA,"Huaceae","Oxalidales"
"Rourea","Rourea","Connaraceae","Oxalidales"
"Connarus","Connarus","Connaraceae","Oxalidales"
"Oxalis","Oxalis","Oxalidaceae","Oxalidales"
"Averrhoa","Averrhoa","Oxalidaceae","Oxalidales"
"Dapania","Dapania","Oxalidaceae","Oxalidales"
"Brunellia","Brunellia","Brunelliaceae","Oxalidales"
"Cephalotus","Cephalotus","Cephalotaceae","Oxalidales"
"Eucryphia","Eucryphia","Cunoniaceae","Oxalidales"
"Geissois","Geissois","Cunoniaceae","Oxalidales"
"Sloanea","Sloanea","Elaeocarpaceae","Oxalidales"
"Crinodendron","Crinodendron","Elaeocarpaceae","Oxalidales"
"Elaeocarpus","Elaeocarpus","Elaeocarpaceae","Oxalidales"
"Ginkgo","Ginkgo","Ginkgoaceae","Ginkgoales"
"Cycas","Cycas","Cycadaceae","Cycadales"
"Zamia","Zamia","Zamiaceae","Cycadales"
"Podocarpus","Podocarpus","Podocarpaceae","Araucariales"
"Metasequoia","Metasequoia","Cupressaceae","Cupressales"
"Welwitschia","Welwitschia","Welwitschiaceae","Welwitschiales"
"Gnetum","Gnetum","Gnetaceae","Gnetales"
"Pinus","Pinus","Pinaceae","Pinales"
